Materia,EAD,Relación 1,Relación 2,Relación 3,Relación 4,Relación 5,Relación 6,Relación 7,Relación 8,Relación 9,Relación 10
Diseño Paramétrico,sí,Dibujo Planimétrico 2D,Dibujo Planimétrico 3D,,,,,,,,
Diseño Participativo,potencial,Métodos Exploratorios,Métodos Generativos,Métodos de Diseño,,,,,,,
Diseño UX para dispositivos móviles,sí,Arquitectura de la Información,Métodos de Diseño,Métodos de Diseño,Diseño de Interfaces,,,,,,
Diseño UX para IA,potencial,Machine Learning Aplicado al Diseño,Diseño de Interfaces Aurales,Arquitectura de la Información,Arquitectura de Sistemas,,,,,,
Diseño y Empresa,sí,Fundamentos de Economía,EcoDiseño,Diseño para la Transición,,,,,,,
EcoDiseño,potencial,Diseño para la Sostenibilidad Social,Diseño para la Transición,,,,,,,,
Edición Audiovisual,potencial,Narratología y construcción de discurso,,,,,,,,,
Ergonomía,sí,Métodos de Diseño,Fundamentos de las Matemáticas,,,,,,,,
Estudios Culturales del Diseño,sí,Historia del Diseño,Fundamentos de la Sicología,Teoría Crítica del Diseño,,,,,,,
Ética del Diseño,potencial,Teoría Crítica del Diseño,Métodos de Diseño,Filosofía del Diseño,,,,,,,
Fabricación Digital,sí,Construcción Formal,Fundamentos de Computación,Fundamentos de la Física,Fundamentos de los Materiales,,,,,,
Filosofía del Diseño,sí,Teoría del Diseño,Historia del Diseño,,,,,,,,
Fotografía,no,Iluminación,Fundamentos de la Física,,,,,,,,
Fundamentos de Computación,no,Fundamentos de las Matemáticas,,,,,,,,,
Fundamentos de Economía,potencial,,,,,,,,,,
Fundamentos de Electrónica,potencial,,,,,,,,,,
Fundamentos de Geometría,sí,Fundamentos de las Matemáticas,,,,,,,,,
Fundamentos de la Física,potencial,,,,,,,,,,
Fundamentos de la Química,no,,,,,,,,,,
Fundamentos de la Sicología,no,,,,,,,,,,
Fundamentos de las Matemáticas,sí,,,,,,,,,,
Fundamentos de los Materiales,potencial,Fundamentos de la Física,Fundamentos de la Química,,,,,,,,
Guión Audiovisual (Storyboards),potencial,Narratología y construcción de discurso,,,,,,,,,
Historia del Diseño,sí,,,,,,,,,,
Iluminación,potencial,,,,,,,,,,
Ilustración,potencial,Observación,Fundamentos de la Física,,,,,,,,
Machine Learning Aplicado al Diseño,no,Observación,,,,,,,,,
Métodos de Codiseño,potencial,Fundamentos de Computación,Fundamentos de las Matemáticas,,,,,,,,
Métodos de Diseño,sí,Fundamentos de la Sicología,,,,,,,,,
Métodos Evaluativos,sí,,,,,,,,,,
Métodos Exploratorios,sí,Teoría del Diseño,Métodos de Diseño,,,,,,,,
Métodos Generativos,sí,Fundamentos de la Sicología,Observación,Métodos de Diseño,,,,,,,
Modelado Orgánico 3D ,0,Métodos de Diseño,,,,,,,,,
Museografía (Espacios Expositivos),sí,Métodos de Codiseño,,,,,,,,,
Narratología y construcción de discurso,0,Dibujo Planimétrico 3D,Ilustración,Observación,,,,,,,
Observación,sí,Señalética y Diseño Wayfinding,Iluminación,Narratología y construcción de discurso,Arquitectura de la Información,,,,,,
Programación Creativa,sí,Fundamentos de las Matemáticas,,,,,,,,,
Prototipado VR,potencial,Fundamentos de las Matemáticas,,,,,,,,,
Robótica y Arduino,sí,Fundamentos de las Matemáticas,Fundamentos de Computación,,,,,,,,
Señalética y Diseño Wayfinding,potencial,Fundamentos de las Matemáticas,Dibujo Planimétrico 3D,Modelado Orgánico 3D ,,,,,,,
Shaders y Gráficos en Tiempo Real,no,Fundamentos de Computación,Fundamentos de las Matemáticas,Fabricación Digital,Fundamentos de la Física,,,,,,
Sistemas de Impresión,potencial,Arquitectura de la Información,Diseño Inclusivo y Accesibilidad,Métodos de Diseño,,,,,,,
Sistemas de Producción Masiva,potencial,Programación Creativa,Fundamentos de las Matemáticas,Fundamentos de Geometría,,,,,,,
Teoría Crítica del Diseño,potencial,Historia del Diseño,Diseño Gráfico,,,,,,,,
Teoría del Diseño,sí,Fabricación Digital,Fundamentos de los Materiales,,,,,,,,
Tipografía,sí,Historia del Diseño,,,,,,,,,
Usabilidad,potencial,Fundamentos de la Sicología,Diseño de Personajes,Métodos de Diseño,,,,,,,
